Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Farhan Energy BV;Numéro de téléphone: 0499 10 56 61;https://www.google.com/url?q=https://www.facebook.com/profile.php%3Fid%3D100093112582058&opi=79508299&sa=U&ved=0ahUKEwiHnLPJiO6RAxW79QIHHUiNAdUQ61gIEigO&usg=AOvVaw2-u8-kEYWDIryZ2vnHKv97;info@farhanenergy.com;NON;OUI;Wix;TRUE
Idéal Energy - Toitures et Isolation;Numéro de téléphone: 071 49 15 90;https://www.google.com/url?q=http://www.ideal-energy.be/&opi=79508299&sa=U&ved=0ahUKEwjW3rXMiO6RAxU_9gIHHWkyJRUQ61gIEigO&usg=AOvVaw0n1AsxzZL7VfQiX52b55Dg;info@ideal-energy.be;OUI;OUI;WordPress;TRUE
N. Depover panneaux photovoltaiques;Numéro de téléphone: 0470 35 22 83;https://www.google.com/url?q=https://www.ndepover.be/&opi=79508299&sa=U&ved=0ahUKEwifiujPiO6RAxWG1QIHHYZMM48Q61gIEigO&usg=AOvVaw2DPdMsZ0Z96qigMri0VXv3;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
B.A.S. Construct - panneaux solaires;Numéro de téléphone: 0485 90 07 61;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Hi-Connect;Numéro de téléphone: 071 48 78 22;https://www.google.com/url?q=http://www.hi-connect.be/&opi=79508299&sa=U&ved=0ahUKEwjHpajfiO6RAxV7-QIHHWbXCT0Q61gIEigO&usg=AOvVaw3U0X3rTz-8oPHNd0gNrtkH;info@hi-connect.be;NON;OUI;Wix;FALSE
HB Technics;Numéro de téléphone: 0471 23 60 07;https://www.google.com/url?q=https://hbtechnics.net/&opi=79508299&sa=U&ved=0ahUKEwjhn4XiiO6RAxWy6gIHHeLxANAQ61gIEigO&usg=AOvVaw0GlCJBMnXtAawpPsQo4Znw;info@hbtechnics.net;NON;OUI;NOT_FOUND;TRUE
CB Energy;Numéro de téléphone: 071 30 68 11;https://www.google.com/url?q=https://cb-energy-photovoltaique.be/&opi=79508299&sa=U&ved=0ahUKEwjexrPkiO6RAxWo1wIHHR0CAaQQ61gIEigO&usg=AOvVaw1xH4dUnnkJFxeaQGHShFX7;NOT_FOUND;OUI;OUI;WordPress;TRUE
DS Power;Numéro de téléphone: 0495 10 22 10;https://www.google.com/url?q=http://www.dspower.be/&opi=79508299&sa=U&ved=0ahUKEwi1-efniO6RAxWL0QIHHTAjF0UQ61gIEigO&usg=AOvVaw0kZ842KRA0OZFoVsWFQsyO;jd@dspower.be;NON;OUI;WordPress;TRUE
Wattsolutions SRL;Numéro de téléphone: 0487 21 05 80;https://www.google.com/url?q=http://www.watt-solutions.be/&opi=79508299&sa=U&ved=0ahUKEwjZ9LDriO6RAxWC9AIHHa1HApUQ61gICSgF&usg=AOvVaw0g3jYm1os0creTDz0-mp1b;info@watt-solutions.be;OUI;OUI;WordPress;TRUE
Intérieur et Chaleur - Charleroi;Numéro de téléphone: 071 33 12 98;https://www.google.com/url?q=https://interieur-chaleur.be/&opi=79508299&sa=U&ved=0ahUKEwjh2934iO6RAxXpzwIHHbdLA8oQ61gIEigO&usg=AOvVaw0bfvVvC4kXwdDqWnoHjNva;info@interieur-chaleur.be;NON;OUI;NOT_FOUND;FALSE
