Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
WEBIOME - Agence Mouscron;Numéro de téléphone: 056 33 08 31;https://webiome.com/;hello@webiome.com;NON;OUI;WordPress;UNKNOWN
base crème - creativ studio;Numéro de téléphone: 056 91 34 80;https://base-creme.com/;bonjour@base-creme.com;NON;OUI;WordPress;UNKNOWN
Com Un Declic;Numéro de téléphone: 056 94 44 90;http://www.comundeclic.com/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
N WebStudio;Numéro de téléphone: 0472 30 23 87;http://www.nwebstudio.be/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Dicton Communication;Numéro de téléphone: 056 84 54 90;http://www.dictoncommunication.be/;hello@dicton.be;NON;OUI;WordPress;UNKNOWN
JDLV Création - Webdesigner;Numéro de téléphone: 0487 36 39 29;https://www.jdlv.be/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Agence Visibilite;Numéro de téléphone: 0460 21 62 71;https://agence-visibilite-web.com/ville/agence-web-mouscron;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
LETSWEB;Numéro de téléphone: 0473 13 03 95;https://www.letsweb.be/;contact@letsweb.be;NON;OUI;NOT_FOUND;UNKNOWN
Digital Dreamers;Numéro de téléphone: +33 6 19 26 72 17;https://digital-dreamers.fr/;contact@info.com;NON;OUI;WordPress;UNKNOWN
Kaloga - Agence Marketing;Numéro de téléphone: 056 94 09 64;https://www.kaloga.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Web max;Numéro de téléphone: 0495 11 19 74;https://www.google.com/maps/place/WAW+GRAFIK+-+ITS+AMELINE+%7C+Strat%C3%A9gie+digitale+%26+marketing+-+Identit%C3%A9+visuelle+-+Site+sur-mesure/data=!4m7!3m6!1s0x47c32979b92f8947:0x2d4efa387d51d594!8m2!3d50.5290254!4d2.893638!16s%2Fg%2F11j9dsp5v2!19sChIJR4kvuXkpw0cRlNVRfTj6Ti0;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Si Facile;NOT_FOUND;https://sifacile.be/;info@sifacile.be;NON;OUI;WordPress;UNKNOWN
Graphy Motion;Numéro de téléphone: +33 7 44 77 90 52;https://www.graphymotion.com/;graphymotiondynamique@gmail.com;NON;OUI;NOT_FOUND;UNKNOWN
Graphiste, Identité visuelle, Impression, Web design - Mouscron - Billy Graphik & Co.;Numéro de téléphone: 0493 88 37 16;https://billygraphik.com/;hello@billygraphik.com;NON;OUI;NOT_FOUND;UNKNOWN
Com digital;Numéro de téléphone: +33 6 52 62 61 09;http://com-digital.com/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Set-Izi;Numéro de téléphone: +33 6 02 32 18 35;https://www.set-izi.fr/;justin@main.com;NON;OUI;WordPress;UNKNOWN
Xania Media;Numéro de téléphone: 0488 03 76 04;https://xaniamedia.com/;xa*******@***oo.com;NON;OUI;WordPress;UNKNOWN
StudioManiak;Numéro de téléphone: 0493 88 37 16;https://studiomaniak.com/;hello@studiomaniak.com;NON;OUI;NOT_FOUND;UNKNOWN
Likeimmo, Agence Immobilière Mouscron;Numéro de téléphone: 056 56 12 34;http://www.likeimmo.be/index.php;mouscron@likeimmo.be;NON;OUI;NOT_FOUND;UNKNOWN
HouseMedia;Numéro de téléphone: 0498 08 66 59;http://housemedia.be/;contact@housemedia.be;NON;OUI;WordPress;UNKNOWN
