Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Knewledge - Digital Marketing Agency;Numéro de téléphone: +352 26 25 71;https://www.knewledge.com/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Adoraweb;Numéro de téléphone: +352 26 30 52 19;https://adoraweb.lu/;hello@adoraweb.lu;OUI;OUI;WordPress;UNKNOWN
Up-Concept Luxembourg;Numéro de téléphone: +352 621 528 232;https://www.up-concept.be/;info@up-concept.be;NON;OUI;WordPress;UNKNOWN
Agence Vous;Numéro de téléphone: +352 26 30 64 1;http://www.vous.lu/;bonjour@vous.lu;NON;OUI;WordPress;UNKNOWN
Vortap;Numéro de téléphone: +352 691 328 093;https://www.google.com/maps/place/Siteasy/data=!4m7!3m6!1s0x6a4d1f6f59e39b19:0x4cb3756cd7a8f24d!8m2!3d49.659805!4d5.9154451!16s%2Fg%2F11vdbg912j!19sChIJGZvjWW8fTWoRTfKo12x1s0w;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
téMéRaiRe marketing;Numéro de téléphone: +352 691 315 634;https://temeraire-marketing.lu/;moien@temeraire-marketing.lu;OUI;OUI;WordPress;UNKNOWN
WSI Luxembourg;Numéro de téléphone: +352 27 39 57 27;http://www.wsiluxembourg.lu/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
CConcept Luxembourg SàRL;Numéro de téléphone: +352 26 30 58 99;http://www.cconcept.lu/;desinscription@cconcept.lu;NON;OUI;WordPress;UNKNOWN
Accentaigu;Numéro de téléphone: +352 39 00 83 800;http://www.accentaigu.lu/;info@accentaigu.lu;NON;OUI;WordPress;UNKNOWN
MOAST;Numéro de téléphone: +352 28 55 28 1;http://www.moast.lu/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Inpent - agence conseil et communication Luxembourg;Numéro de téléphone: +352 28 57 85 1;https://www.inpent.com/;plug@inpent.com;NON;OUI;NOT_FOUND;UNKNOWN
Talk2u sàrl;Numéro de téléphone: +352 26 30 52 27;http://www.talk2u.lu/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Adwire - Performance Digital Marketing Agency;Numéro de téléphone: +352 26 30 64 1;http://www.adwire.lu/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
ABSOMOD Group;Numéro de téléphone: +352 26 10 87 41;http://www.absomod.com/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Popp;Numéro de téléphone: +352 661 820 518;http://popp.agency/;hello@popp.agency;NON;OUI;NOT_FOUND;UNKNOWN
z6creation;Numéro de téléphone: +352 24 87 31 00;http://www.z6creation.net/;glibit@gliber.com;NON;OUI;WordPress;UNKNOWN
Up-Concept Belgique;Numéro de téléphone: 0485 64 17 29;https://www.up-concept.be/;info@up-concept.be;NON;OUI;WordPress;UNKNOWN
TAKANEO | Agence de communication créative au Luxembourg;Numéro de téléphone: +352 27 91 92 92;https://www.takaneo.lu/;info@takaneo.com;NON;OUI;WordPress;UNKNOWN
ClipNow;Numéro de téléphone: +352 691 110 597;https://www.google.com/maps/place/Siteasy/data=!4m7!3m6!1s0x6a4d1f6f59e39b19:0x4cb3756cd7a8f24d!8m2!3d49.659805!4d5.9154451!16s%2Fg%2F11vdbg912j!19sChIJGZvjWW8fTWoRTfKo12x1s0w;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
NI Media Agency;Numéro de téléphone: +352 671 163 495;https://www.google.com/maps/place/Siteasy/data=!4m7!3m6!1s0x6a4d1f6f59e39b19:0x4cb3756cd7a8f24d!8m2!3d49.659805!4d5.9154451!16s%2Fg%2F11vdbg912j!19sChIJGZvjWW8fTWoRTfKo12x1s0w;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Tac O Tac S.A.;Numéro de téléphone: +352 26 84 58 54;https://www.tacotac.lu/;devis@tacotac.lu;NON;OUI;NOT_FOUND;UNKNOWN
PrimeWeb;Numéro de téléphone: +352 691 106 559;https://primeweb.lu/;info@primeweb.lu;NON;OUI;WordPress;UNKNOWN
Virginie Hubert PRO;Numéro de téléphone: +352 691 799 699;https://www.google.com/maps/place/Siteasy/data=!4m7!3m6!1s0x6a4d1f6f59e39b19:0x4cb3756cd7a8f24d!8m2!3d49.659805!4d5.9154451!16s%2Fg%2F11vdbg912j!19sChIJGZvjWW8fTWoRTfKo12x1s0w;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Palani Design;Numéro de téléphone: +352 20 40 62 60;https://www.google.com/maps/place/Siteasy/data=!4m7!3m6!1s0x6a4d1f6f59e39b19:0x4cb3756cd7a8f24d!8m2!3d49.659805!4d5.9154451!16s%2Fg%2F11vdbg912j!19sChIJGZvjWW8fTWoRTfKo12x1s0w;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Tipp Topp • Agence de Communication;Numéro de téléphone: 0473 62 23 17;https://tipp-topp.lu/;info@tipp-topp.lu;NON;OUI;WordPress;UNKNOWN
