Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Ethias Assurances Charleroi;Numéro de téléphone: 071 20 27 70;https://www.ethias.be/part/fr/contact/offices/charleroi;info@ethias.be;NON;OUI;NOT_FOUND;UNKNOWN
Assurances Azzini;Numéro de téléphone: 071 20 50 30;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
ASSURANCE CHARLEROI : Courtiers Partenaires;Numéro de téléphone: 071 20 26 00;https://www.courtierspartenaires.be/;production@courtierspartenaires.be;NON;OUI;WordPress;UNKNOWN
Assurances Tous Risques SCS;Numéro de téléphone: 0477 51 42 34;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Crefinance Crédits et Assurances Charleroi;Numéro de téléphone: 071 49 47 70;http://crefinance.be/;info@crefinance.be;OUI;OUI;WordPress;UNKNOWN
Agence DKV Charleroi;Numéro de téléphone: 071 49 47 59;https://charleroi.dkvagence.be/;agence@dkvcharleroi.be;NON;OUI;NOT_FOUND;UNKNOWN
La Mutualité Neutre;Numéro de téléphone: 071 20 52 11;http://www.lamn.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
D.l.v. Assurances;Numéro de téléphone: 071 31 30 12;http://dlvassurances.be/;info@dlvassurances.be;NON;OUI;WordPress;UNKNOWN
Yuzzu shop Charleroi;Numéro de téléphone: 02 505 66 00;https://www.yuzzu.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
ASSURANCE CHARLEROI : E.C.A. Conseils & Assurances;Numéro de téléphone: 0800 72 000;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Axelle Delhaye Assurances;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Ferrara Assurances et Prêts;Numéro de téléphone: 071 20 26 00;https://www.courtierspartenaires.be/;production@courtierspartenaires.be;NON;OUI;WordPress;UNKNOWN
Mutualité Solidaris Centre, Charleroi et Soignies;Numéro de téléphone: 078 05 13 19;http://www.solidaris-wallonie.be/;aaaa@bbb.ccc;NON;OUI;WordPress;UNKNOWN
AG Insurance Charleroi;Numéro de téléphone: 02 664 81 11;https://ag.be/particulieren/nl;customercomplaints@aginsurance.be;NON;OUI;NOT_FOUND;UNKNOWN
Neckermann Charleroi;Numéro de téléphone: 071 32 26 67;https://www.neckermann.be/;service@neckermann.be;NON;OUI;NOT_FOUND;UNKNOWN
UCM Charleroi : Guichet d’entreprises, Caisse d’assurances sociales et Secrétariat social;Numéro de téléphone: 071 48 84 00;https://www.ucm.be/trouvez-nous/charleroi;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
BELCOGEST Assurances;Numéro de téléphone: 071 31 64 61;https://www.belcogest.be/fr-be;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Crelan Charleroi - Crefi Conseils;Numéro de téléphone: 071 47 20 00;https://www.crelan.be/fr/particuliers/agence/crefi-conseils-charleroi;charleroi.alfreddefontaine@crelan.be;NON;OUI;WordPress;UNKNOWN
Eric Roosens & Cie;Numéro de téléphone: 071 32 59 91;http://www.eric-roosens.be/;eric.roosens@eric-roosens.be;NON;OUI;NOT_FOUND;UNKNOWN
Assurances Hawotte;Numéro de téléphone: 071 31 97 89;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Fintro-Charleroi-Pont-Neuf Assurfinance (mardi, jeudi, après-midi sur RDV);Numéro de téléphone: 071 31 58 70;https://www.fintro.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Hougardy et Fils srl;Numéro de téléphone: 071 32 24 15;http://www.hougardyassurances.be/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Park Insurance;Numéro de téléphone: 071 85 03 81;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Assucar;Numéro de téléphone: 071 23 83 11;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Résultats;Numéro de téléphone: 071 41 81 12;http://www.assuranceslooze.be/;info@bronchain-assurances.be;NON;OUI;NOT_FOUND;UNKNOWN
