Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Institut d'Enseignement Technique Commercial (IETC);Numéro de téléphone: 071 53 13 08;https://www.etudierenhainaut.be/ietcps-charleroi.html;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Sani Space, Décoration intérieure;Numéro de téléphone: 071 41 80 07;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Nearmi;Numéro de téléphone: 0494 11 20 06;http://nearmi.be/;contact@nearmi.be;NON;OUI;WordPress;UNKNOWN
CYGNUM;Numéro de téléphone: 0478 62 08 41;https://cygnum.be/;NOT_FOUND;OUI;OUI;WordPress;UNKNOWN
OPPOZYTE;Numéro de téléphone: 0495 32 14 22;http://www.oppozyte.be/;info@oppozyte.be;NON;OUI;Webflow;UNKNOWN
Acolyte – Agence WordPress;Numéro de téléphone: 0470 46 92 82;https://acolyteagency.com/;contact@acolyteagency.com;NON;OUI;WordPress;UNKNOWN
Direct Result Charleroi;NOT_FOUND;https://direct-result.be/;NOT_FOUND;OUI;OUI;WordPress;UNKNOWN
FC Graphicolors Editions.;Numéro de téléphone: 0496 08 55 53;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Centre commercial Ville 2;Numéro de téléphone: 071 28 62 10;https://www.ville2.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
GO'arketing;Numéro de téléphone: 0492 10 19 00;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Sports Direct;Numéro de téléphone: 071 48 90 05;https://www.sportsdirect.be/stores/ville2charleroi-store-511;webmaster@sportsdirect.com;NON;OUI;NOT_FOUND;UNKNOWN
Reed;Numéro de téléphone: 0479 72 06 05;http://www.reed.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Dreammachine;Numéro de téléphone: 071 18 11 21;http://www.dreammachine.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Écrans Géants Led PROXILED;Numéro de téléphone: 0479 75 13 73;http://www.proxiled.com/;contact@proxiled.com;NON;OUI;WordPress;UNKNOWN
Promotion Sociale;Numéro de téléphone: 071 28 59 05;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
desiRED | Digital Communication Agency;Numéro de téléphone: 0475 59 67 58;https://desired.be/;NOT_FOUND;OUI;OUI;WordPress;UNKNOWN
Rdesign Belgium;Numéro de téléphone: 0474 12 36 78;https://www.rdesignbelgium.be/;contact@rdesignbelgium.be;NON;OUI;WordPress;UNKNOWN
Seegraph;Numéro de téléphone: 071 49 53 53;https://www.seegraph.com/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Chacun Son Job;Numéro de téléphone: 071 11 94 89;https://chacunsonjob.be/;hello@chacunsonjob.be;NON;OUI;WordPress;UNKNOWN
Kohen;NOT_FOUND;https://kohen.be/;contact@kohen.be;NON;OUI;NOT_FOUND;UNKNOWN
Be Seen Concept;Numéro de téléphone: 0493 37 78 31;https://www.beseenconcept.be/;info@beseenconcept.be;NON;OUI;WordPress;UNKNOWN
IDFresh;Numéro de téléphone: 0479 60 89 98;https://www.idfresh.agency/;hello@idfresh.eu;NON;OUI;WordPress;UNKNOWN
AI Horizon Agency;NOT_FOUND;https://www.aihorizon-agency.com/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Golden Branding;Numéro de téléphone: 0465 51 29 92;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Univers Du Web;Numéro de téléphone: 0486 67 98 78;https://universduweb.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
I.E.T. Notre-Dame;Numéro de téléphone: 071 30 23 30;http://iet-notredame.info/;info@iet-notre-dame.eu;NON;OUI;NOT_FOUND;UNKNOWN
Agoraz;Numéro de téléphone: 0489 80 98 20;https://www.agoraz.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Se no name;Numéro de téléphone: 071 36 61 24;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Université du Travail Paul Pastur;Numéro de téléphone: 071 55 23 68;https://www.etudierenhainaut.be/charleroi/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
vlmancer.digital;Numéro de téléphone: 0465 68 56 47;https://www.google.com/maps/place/SitePerso+-+Bernard+Dombrecht/data=!4m7!3m6!1s0x47c226eb15c8a70d:0x66de4df1d01d3fc8!8m2!3d50.3702464!4d4.459755!16s%2Fg%2F1tv3mvck!19sChIJDafIFesmwkcRyD8d0PFN3mY;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
ADEVO Solutions;Numéro de téléphone: 071 19 14 03;https://www.adevo.be/;info@adevo.be;OUI;OUI;NOT_FOUND;UNKNOWN
Existe;Numéro de téléphone: 0498 69 24 22;http://www.existe.be/;info@existe.be;NON;OUI;WordPress;UNKNOWN
1pulsion;Numéro de téléphone: 0479 27 73 79;http://www.1pulsion.be/;parnould@1pulsion.be;NON;OUI;WordPress;UNKNOWN
Mognetize Marketing;NOT_FOUND;https://mognetizemarketing.com/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
PRAXEE – Création de sites internet;Numéro de téléphone: 0471 53 58 85;https://praxeedigital.com/;praxeedigtial@outlook.com;NON;OUI;NOT_FOUND;UNKNOWN
MB-Creation;Numéro de téléphone: 071 49 55 99;http://www.mb-creation.be/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Halenria - Belgique;Numéro de téléphone: 071 14 43 83;https://halenria.com/;contact@halenria.com;NON;OUI;WordPress;UNKNOWN
