Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
E-SOL'AIR - Installation de panneaux solaires & pompes à chaleur;Numéro de téléphone: +33 4 68 22 98 78;http://www.esolair.fr/;contact@esolair.fr;NON;OUI;WordPress;TRUE
AE Energie Groupe - Installateur panneaux solaires Perpignan;Numéro de téléphone: +33 9 86 12 05 89;https://www.aeenergie-groupe.fr/;contact@aeenergie-groupe.fr;OUI;OUI;WordPress;FALSE
SGH ENERGIES BY TOTAL AUTOCONSOMMATION 66;Numéro de téléphone: +33 6 33 42 71 84;https://www.sgh-energies.fr/;NOT_FOUND;NON;OUI;NOT_FOUND;TRUE
O2 TOIT PERPIGNAN - Installateur de panneaux solaires & pompes à chaleur;Numéro de téléphone: +33 800 22 22 02;https://o2toit.fr/nos-agences/o2-toit-perpignan/;service-client@o2toit.fr;NON;OUI;WordPress;TRUE
ENR A'VENIR - Photovoltaïque perpignan - Saint-Estève;Numéro de téléphone: +33 4 68 87 02 28;https://www.enr-avenir.com/;direction@enr-avenir.com;NON;OUI;WordPress;TRUE
Agence C.O.A des Pyrénées Orientales;Numéro de téléphone: +33 4 48 50 08 85;https://coa-photovoltaique.fr/;contact@coa-languedoc.fr;NON;OUI;WordPress;TRUE
Sun 66 Panneau Solaire Perpignan;NOT_FOUND;http://www.sun66-panneaux-solaires.top/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
TR Energie;Numéro de téléphone: +33 6 01 00 05 64;http://www.tr-energie.fr/;theo.gasc@tr-energie.fr;NON;OUI;WordPress;TRUE
Amn Energies;Numéro de téléphone: +33 4 68 55 56 66;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
SOLEIA-GROUPE;Numéro de téléphone: +33 7 83 68 60 23;https://www.soleia-groupe.com/;NOT_FOUND;NON;OUI;WordPress;TRUE
Ecowatt Enr;Numéro de téléphone: +33 9 79 29 38 78;https://www.ecowattenr.fr/;contact@ecowattenr.fr;NON;OUI;WordPress;TRUE
SM SOLARENERGY;Numéro de téléphone: +33 7 80 94 85 85;http://smsolarenergy-perpignan.com/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Élio's - Bureau d'Étude Photovoltaïque;Numéro de téléphone: +33 6 51 98 22 49;https://elios-solaire.fr/;contact@web-elios.com;NON;OUI;WordPress;TRUE
Smart Enr;Numéro de téléphone: +33 4 68 87 19 60;http://www.smartenr.fr/;NOT_FOUND;OUI;OUI;WordPress;TRUE
Brainhome - Installateur de Panneaux photovoltaïques et solaires à Perpignan;Numéro de téléphone: +33 4 48 16 08 20;https://www.brainhome.fr/;sarlbrainhome@gmail.com;NON;OUI;WordPress;TRUE
SOLAR PRO CATALAN;Numéro de téléphone: +33 7 60 51 80 20;https://www.solarprocatalan.fr/;NOT_FOUND;NON;OUI;NOT_FOUND;TRUE
Comptoir Occitan Pour les Economies d'Energie (C.O.P.E.E.) - panneaux solaires, pompes à chaleurs...;Numéro de téléphone: +33 4 34 29 55 71;https://www.facebook.com/comptoir.occitan.copee;admin@copee.eu;NON;OUI;Wix;TRUE
Renov&Sun - Photovoltaïque, Chauffage, Climatisation & Rénovation énergétique à Perpignan;Numéro de téléphone: +33 4 68 07 26 77;https://www.renovandsun.com/;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;OUI;OUI;WordPress;TRUE
Tecsol;Numéro de téléphone: +33 4 68 68 16 40;http://www.tecsol.fr/;contact@tecsol.fr;OUI;OUI;NOT_FOUND;TRUE
FHE Group;Numéro de téléphone: +33 9 82 99 20 00;https://fhe-france.com/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
LM Énergie;Numéro de téléphone: +33 6 50 40 08 91;https://lmenergie.com/;NOT_FOUND;NON;OUI;WordPress;FALSE
GREENPOWER.ENR;Numéro de téléphone: +33 7 85 85 33 23;https://www.greenpower-enr.fr/;NOT_FOUND;NON;OUI;NOT_FOUND;TRUE
Domagest domapose;Numéro de téléphone: +33 4 68 67 25 15;https://www.domagest.com/;contact@domagest.com;NON;OUI;WordPress;TRUE
Alter Energies ☀️ Installation Photovoltaïque, Pompe à Chaleur et Climatisation - Perpignan;Numéro de téléphone: +33 4 68 37 46 79;https://www.alter-energies.com/;contact@alter-energies.com;NON;OUI;WordPress;TRUE
HOMEA CLIM-ELEC PERPIGNAN - Panneaux photovoltaïques-Climatisation-Ballon thermodynamique;Numéro de téléphone: +33 4 68 22 93 11;https://clim-elec.homea66.fr/;fkilic@melizel.fr;NON;OUI;WordPress;FALSE
Solution ENR;Numéro de téléphone: +33 4 68 64 59 09;https://www.solution-enr.fr/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
