Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
L.P.Cooling;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
De² Geotechnics (Charleroi);Numéro de téléphone: 0455 11 91 12;https://www.google.com/url?q=http://www.de2-group.be/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D5165373437143071082&opi=79508299&sa=U&ved=0ahUKEwjB36aDkO6RAxVK5QIHHctjIeQQ61gIEigO&usg=AOvVaw0GHHkZL3sGlKFH2oJO5uYB;nicolas.decerf@de2-group.be;OUI;OUI;Wix;TRUE
CAI CHAUFFAGE;Numéro de téléphone: 0494 47 35 05;https://www.google.com/url?q=https://www.facebook.com/3Jiahua&opi=79508299&sa=U&ved=0ahUKEwijgLeGkO6RAxXg-gIHHUt0IL0Q61gIEigO&usg=AOvVaw1MT9zB1reMZruXDUjRJtMJ;NOT_FOUND;NON;OUI;Wix;FALSE
COP Chauffage Clim Srl;Numéro de téléphone: 0489 72 47 18;https://www.google.com/url?q=http://www.copchauffageclim.com/&opi=79508299&sa=U&ved=0ahUKEwixgbmKkO6RAxWp1QIHHUWFBEwQ61gIEigO&usg=AOvVaw1RFqL-VhmMj5fiU1FCADbk;koukouche@copchauffageclim.com;OUI;OUI;WordPress;FALSE
Alintech sprl;Numéro de téléphone: 0498 27 96 41;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Acpac Air Conditionné Pompe à Chaleur;Numéro de téléphone: 0479 91 09 10;https://www.google.com/url?q=https://www.acpac.be/&opi=79508299&sa=U&ved=0ahUKEwi41M-ZkO6RAxVM9gIHHXWVJNQQ61gIEigO&usg=AOvVaw0Rd-yVTGw5zqc_Kfkbd8BY;acpacbelgique@outlook.com;NON;OUI;NOT_FOUND;TRUE
Actif Chauffage;Numéro de téléphone: 0484 92 79 80;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Air Evolution;Numéro de téléphone: 071 96 72 88;https://www.google.com/url?q=http://www.air-evolution.be/&opi=79508299&sa=U&ved=0ahUKEwj44qupkO6RAxXgyAIHHZBELagQ61gIEigO&usg=AOvVaw1B3Y_56XfxUjNpuC9NygWR;info@air-evolution.be;NON;OUI;NOT_FOUND;TRUE
Confort & Chaleur;Numéro de téléphone: 0475 60 68 38;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Confort & Chaleur;Numéro de téléphone: 0475 60 68 38;https://www.google.com/url?q=http://www.chauraci.be/&opi=79508299&sa=U&ved=0ahUKEwj_ss65kO6RAxVx2gIHHY1fGHYQ61gIEigO&usg=AOvVaw1rWwiC_j-63POwYLQhSYg1;info@chauraci.be;NON;OUI;WordPress;TRUE
V’INCI Chauffage;Numéro de téléphone: 0483 66 97 04;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Climatisation ClimaCosta;Numéro de téléphone: 0800 82 526;https://www.google.com/url?q=https://climacosta.be/&opi=79508299&sa=U&ved=0ahUKEwimpPPJkO6RAxWg5wIHHez7LSAQ61gIEigO&usg=AOvVaw2yXbsScRIHvJ-nremgm5Sj;info@climacosta.be;OUI;OUI;WordPress;TRUE
Aircowil, Climatisation;Numéro de téléphone: 0497 07 70 18;https://www.google.com/url?q=http://www.aircowil.be/&opi=79508299&sa=U&ved=0ahUKEwiovPPMkO6RAxW42gIHHep3AGwQ61gIEigO&usg=AOvVaw37tyDGENNFxyQU3SBbzXSF;info@aircowil.be;NON;OUI;NOT_FOUND;TRUE
SRL ADS Eau et Chaleur;Numéro de téléphone: 0486 71 32 64;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Nazherbes;Numéro de téléphone: 071 51 03 40;https://www.google.com/url?q=http://nazherbes.be/&opi=79508299&sa=U&ved=0ahUKEwirj97dkO6RAxWH3QIHHZdUJ1EQ61gIEigO&usg=AOvVaw2KfkCip5tQNEgVT1p0psER;nazherbes@gmail.com;NON;OUI;NOT_FOUND;FALSE
Thermoclim;Numéro de téléphone: 0485 13 03 03;https://www.google.com/url?q=https://www.thermoclim.be/&opi=79508299&sa=U&ved=0ahUKEwiglf_gkO6RAxV_5gIHHZ0lE1QQ61gIBygE&usg=AOvVaw1dXtSbvxfgouUAf9Epkx2R;info@thermoclim.be;NON;OUI;NOT_FOUND;TRUE
Raypan Sprl;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
ASP Chauffage;Numéro de téléphone: 0479 70 20 07;https://www.google.com/url?q=http://www.asp-chauffage.be/&opi=79508299&sa=U&ved=0ahUKEwjvreeEke6RAxXARv4FHQB6BBsQ61gIEigO&usg=AOvVaw1wAoEBrw5TvyUa16hjAKMZ;info@aspchauffage.com;NON;OUI;NOT_FOUND;TRUE
